item_id,block,query,candidate_a,Score: Surface,Score: Structure,Score: Confidence,candidate_b,Score: Surface,Score: Structure,Score: Confidence
11,A,"Our IT guy kept finding 'critical security vulnerabilities' that only he could fix, always right before budget reviews. He was practically indispensable. After he left, the new guy discovered he'd been creating the vulnerabilities himself, then patching them for credit.","The neighborhood watch captain reported a dramatic increase in suspicious activity—prowlers, attempted break-ins, vandalism. He organized patrols and got the HOA to buy security cameras. When cameras were installed, all activity stopped. Security footage and his later confession showed that he had staged the vandalism and prowler incidents himself.",2,5,5,The IT consultant found a critical security vulnerability and reported it through proper channels. The external audit confirmed the flaw existed and his patch fixed it. He received recognition for catching a problem that had escaped everyone else.,5,1,5
12,A,"My girlfriend told me her ex was threatening her and she needed $5,000 immediately for a lawyer. I emptied my savings. A week later I found out there was no ex, no threat. She wanted to see if I'd 'be there for her.' I passed her test but failed mine.","My girlfriend's ex was stalking her and she needed help with legal fees for a restraining order. I lent her $5,000 from my savings. The police reports confirmed the harassment was real—he'd been showing up at her workplace. The restraining order worked, and she paid me back over the next year.",5,1,5,"My new business partner said his investor pulled out and we needed $50K or lose the office lease that day. I mortgaged my car. Turned out his investor was fine—he wanted to see if I was 'committed to the partnership.' He returned the money, proud that I'd proven myself.",2,4,5
13,A,My parents hid my adoption from me for thirty years to 'protect' me. I found out from a DNA test. Now I don't know who I am or who they are. The secret they kept to prevent pain has caused more pain than the truth ever could have.,"My doctor knew my test results showed early-stage cancer but waited two months to tell me because he 'didn't want to worry me during the holidays.' By the time I found out, it had progressed. His protection cost me a kidney.",1,4,4,"My parents told me about my adoption when I was eighteen—they'd been waiting until I was mature enough to process it rather than hiding it indefinitely. The DNA test I took years later just confirmed what I already knew. They answered every question about my origins honestly. Their choice to wait wasn't about protecting a secret forever, but about timing the disclosure appropriately.",5,1,5
14,A,"I bombed my interview at my dream company so badly that I cried in the parking lot. That humiliation made me completely rethink my approach. I spent a year building skills I'd ignored. When I reapplied, I didn't just get the job—I got a role two levels higher than I'd originally sought.","My first restaurant failed within eight months. Bankrupt and ashamed, I took a job washing dishes. Watching that kitchen taught me everything my business school hadn't. My second restaurant, built on those lessons, now has two Michelin stars.",1,5,5,I prepared extensively for my interview at my dream company. It went well—I answered every question confidently and connected with the hiring manager. They offered me the position a week later. Hard work led to success along the path I'd planned.,5,1,5
15,A,"I was furious when my company seated me next to the guy who'd stolen my biggest client. We sat in hostile silence for weeks. Then we got snowed in during a business trip, shared a bottle of whiskey, and discovered he'd been fed misinformation about me. Now he's my closest friend at work.","I was pleased when my company seated me next to the guy who'd won our biggest new client. We sat in friendly conversation for weeks. Then we got snowed in during a business trip, shared a bottle of whiskey, and confirmed we had similar values. Now he's my closest friend at work—exactly as our initial rapport suggested he would become.",2,5,5,"I hated my college roommate on sight—he was everything I'd been taught to distrust. We avoided each other for months. Then we both got food poisoning from the cafeteria and spent a night taking turns in the bathroom. Twenty years later, he was the best man at my wedding.",3,5,5
16,A,"My attention to detail made me the best editor in the department. Then I started catching errors everywhere—in menus, street signs, texts from friends. I couldn't read anything without correcting it. My wife left because I wouldn't stop editing her emails. The skill that built my career destroyed my marriage.","My attention to detail made me a good editor, but I learned early to compartmentalize. At work, I'm meticulous. At home, I let the small stuff go. My wife jokes that I have an 'off switch.' The balance keeps both my career and marriage healthy.",5,1,5,"My empathy made me an exceptional therapist. I could feel what my clients felt. Then I couldn't turn it off. I absorbed everyone's pain—strangers on the subway, characters in movies. I had a breakdown and couldn't practice for two years. My greatest gift became my heaviest burden.",2,5,5
17,A,"My brother-in-law is the most selfish person I know—never helps with dishes, always takes the last slice, complains about every family obligation. When my daughter was diagnosed with leukemia, he quit his job to drive her to every chemo appointment. Spent his savings on her treatments without being asked. I never knew who he really was until it mattered.","My quiet, timid coworker never spoke up in meetings, never challenged anyone. When our manager started taking credit for our team's work, she walked into the VP's office with documentation of every stolen idea. Got our manager fired. I'd mistaken her silence for weakness.",1,5,5,"My brother-in-law is the most selfish person I know. When my wife was diagnosed with leukemia, he sent a card and visited once. He complained about the hospital parking and left after an hour. The crisis confirmed exactly who he was—no hidden depths, no surprise transformation.",5,1,5
18,A,I almost didn't go to that party—I was tired and it was raining. I made myself go because I'd promised. Met my wife that night. That one reluctant decision to keep a small promise gave me my three children and the life I have now.,I was excited about that party—I'd been looking forward to it all week. The weather was perfect and I felt energetic. I went eagerly because I'd heard great people would be there. Met my wife that night. But I would have met someone eventually anyway through my active social life. The party was one of many opportunities I pursued deliberately.,4,2,4,"I nearly skipped the open house for an apartment I couldn't afford. Went anyway, just to see the neighborhood. The seller mentioned she needed someone to watch her cat while she traveled. That conversation led to a friendship, then a business partnership, then the company that made me financially independent.",1,5,5
19,A,"I thought I understood machine learning until I had to explain backpropagation to an intern. Her questions exposed that I'd been pattern-matching, not comprehending. Teaching her forced me to actually learn the material I'd been faking for years.","I thought I understood machine learning, and I was right. When the intern asked me to explain backpropagation, I walked her through the chain rule, gradient descent, and why certain architectures work. Her questions were good, and I could answer all of them clearly. Teaching her confirmed that I'd been comprehending all along, not just pattern-matching.",5,2,5,"I'd played guitar for fifteen years when my daughter asked for lessons. Trying to explain why certain chords work together made me realize I had no idea. I'd learned by feel, not theory. Teaching a beginner sent me back to fundamentals I'd never actually mastered.",2,5,5
20,A,"I 'helped' my alcoholic brother for years—covered his rent, made excuses to his employer, cleaned up after his binges. I thought I was being a good sister. His counselor finally told me I'd been making it easy for him to keep drinking. My love was his longest bar tab.","I proofread every paper for my struggling college student, essentially rewriting them. I thought I was tutoring. After she failed her first exam—something I couldn't take for her—I realized she'd never learned to write because I'd been doing it for her. My help was her handicap.",2,5,5,"I refused to keep covering for my alcoholic brother. When he asked me to call his boss with another excuse, I said no. When he needed rent money after a binge, I offered to pay for rehab instead. He was furious and didn't speak to me for months. But cutting off the enabling forced him to face his addiction. He's been sober for two years now.",5,2,5
21,B,"The head chef at my culinary school would announce that health inspectors were coming tomorrow, triggering panic deep-cleans. After three years, a classmate noticed the inspections were always scheduled months in advance—our chef knew exactly when they'd arrive. He admitted he liked how 'urgency sharpens technique.'","The head chef at my culinary school announced that health inspectors were coming the next day—a surprise visit we hadn't expected. We did an emergency deep-clean all night. The inspection happened exactly as he said, and we passed with high marks. His warning about the real deadline helped us prepare properly.",5,2,5,My swimming coach would shout that the college scout was in the stands watching our practice. I'd push myself until I nearly drowned. The scout visits were always announced weeks ahead on the athletic calendar. Coach believed phantom pressure built champions.,1,5,5
22,B,"I showed my research partner my breakthrough methodology for synthesizing the compound. He asked detailed questions 'to understand it better.' The next month, he published a paper with my exact protocol as first author, listing me nowhere. When confronted, he said methods can't be owned.","I showed my research partner my methodology for synthesizing the compound. He built on it in his own direction, cited my contribution appropriately, and we ended up co-authoring a follow-up paper that neither could have written alone.",5,2,5,"I trusted my neighbor with a private list of rare-parts suppliers for my grandfather's vintage motorcycle restoration, asking him not to share it until my project was complete. He sold the information to a dealer who bought up the entire parts supply, then offered them to me at triple the price. My neighbor got a finder's fee for betraying my confidence.",2,5,5
23,B,My bandmate had a chance to audition for a famous producer but couldn't afford the flight. I sold my vintage guitar—the one my late brother gave me—to buy her ticket. She got signed. She still thinks I won that money gambling. I'll let her keep believing that.,"My elderly neighbor's grandson needed a kidney transplant. I was a match, so I donated anonymously through the hospital's program. The family believes a stranger saved him. I watch him play in the yard and have never said a word.",1,5,5,"My mother told me directly that she'd been covering my share of grandma's care costs. I was embarrassed but grateful she was upfront. I immediately started contributing, glad she hadn't hidden it from me.",1,1,5
24,B,"I designed the entire user interface for our startup's app—every screen, every interaction. When we won a design award, my CEO accepted it saying 'I've always believed good design starts at the top.' He framed the award in his office. I still have my original sketches in a drawer.","In high school, I choreographed our dance team's competition routine. Our coach submitted it to a choreography competition under her own name and won regional recognition. She used the certificate to negotiate a raise. I learned about it from a newspaper clipping.",2,5,5,"I designed a new product feature over six months. When it increased user engagement, my supervisor credited me by name in the all-hands meeting. The CEO mentioned my contribution in the quarterly report.",5,1,5
25,B,"My grandmother knits me a sweater every Christmas. They're scratchy, unflattering, and I'm allergic to wool. For fifteen years I've worn each one during our holiday video calls, then donated them. She watches for me to wear them. I itch through every conversation.",My grandmother knits me a sweater every Christmas. Last year I finally told her gently that wool makes me itch. She was disappointed but appreciated my honesty. Now she knits me cotton scarves instead. Being truthful improved our gift-giving tradition.,5,2,5,"My business partner's daughter painted a mural for our office. It's garish and clashes with our brand. For eight years I've scheduled client meetings around it, adjusting lighting to minimize its visibility while praising it to his face. He beams every time he shows it to visitors.",1,5,5
26,B,"My art teacher always encouraged me to enter student competitions 'when I was ready'—which somehow was never. After I graduated, a former classmate showed me rejection letters the teacher had written about my work, calling it 'derivative' and 'technically immature.' She'd been blocking my entries for years while praising me to my face.","My career coach seemed dedicated to my professional growth, scheduling extra sessions and expressing enthusiasm about my potential. After switching coaches, my new advisor found emails in my transferred file: the previous coach had been recommending against me to employers, claiming I 'needed more development.' She'd been prolonging my dependency for the consulting fees.",3,5,5,"My art teacher was direct about my weaknesses—sometimes painfully so. She told me my early work was derivative and pushed me to find my own voice. Her criticism stung, but her specific recommendations eventually got me into a prestigious residency.",5,2,5
27,B,"My colleague fell asleep during his night shift and a shipment spoiled. When the warehouse manager demanded answers, I said I'd been the one dozing. I got demoted and a pay cut. He had three kids and was already on final warning. He cried in the parking lot but never corrected me.","My dog knocked over and shattered my mother-in-law's antique lamp while my wife was home alone. When her mother arrived for dinner and demanded to know what happened, my wife said I'd been roughhousing carelessly. I overheard and said nothing. I absorbed two years of her mother's cold treatment. My wife never corrected the story, and I never asked her to.",1,5,5,"My colleague fell asleep during his night shift and a shipment spoiled. When confronted by the manager, he admitted his mistake immediately. He received a warning and mandatory retraining. Taking responsibility improved his standing with the team over time.",5,1,5
28,B,"A successful alumnus donated money to fund my doctoral research with no stated conditions. Three years in, he demanded I change my thesis direction to support his company's regulatory position. When I refused, he told the department chair I was 'ungrateful' and withdrew future funding promises.","My aunt offered to host my wedding at her estate 'as a gift.' After we'd sent invitations, she presented a list of required guests—business contacts she wanted to impress. When we resisted, she threatened to cancel a week before. We complied with her guest list to avoid disaster.",1,3,5,"My grandmother gave me her antique ring with no conditions mentioned. Years later, when I sold it during hard times, she said she'd given it to me to use however I needed. She'd meant it as an unconditional gift from the start.",1,1,5
29,B,"My housemate insists she 'doesn't understand how' to load the dishwasher properly—dishes always come out dirty when she tries. She has a Ph.D. in mechanical engineering. After six months of redoing her loads, I just started doing all the dishes. She thanked me for being 'so understanding.'","My coworker claimed she couldn't handle the new software and needed help. She was actually struggling—the interface was confusing for everyone at first. Once we walked through it together, she picked it up and became one of the most proficient users.",1,2,5,The junior associate claimed he couldn't figure out the expense reporting system despite multiple trainings. I covered his reports for a year. Then I saw his freelance consulting profile advertising expertise in 'corporate financial systems implementation.' He'd been billing clients to set up the same software.,1,4,5
30,B,"During my divorce, my sister called constantly with 'support' while secretly meeting my ex to coordinate their stories. My ex's lawyer—the one I'd feared most—actually told my attorney about questionable financial disclosures on their own side. The opponent played fair; my family didn't.","My competitor criticized my work at conferences and my mentor quietly advocated for my grants. During the funding crisis, both continued their established patterns—criticism from one, support from the other.",1,1,5,"The strict professor who failed me freshman year wrote my strongest graduate school recommendation, citing my resilience. My favorite professor, who always praised me, told the admissions committee I 'peaked early.' I was admitted because of the one who'd challenged me.",1,5,5
31,B,"Our community organizer rallied the neighborhood against a highway expansion she claimed would destroy local parks. She led protests, collected signatures, and ultimately 'saved' us. A leaked internal memo later revealed she'd fabricated the proposed route entirely—the transportation department had never planned any construction near our area. She manufactured a threat to become the hero who defeated it.","Our community organizer rallied the neighborhood against a proposed highway expansion. An independent environmental review confirmed the project would damage local ecosystems as she'd claimed. Her opposition addressed a documented threat, and the successful campaign protected measurable community interests.",5,1,5,The lifeguard at our pool kept 'rescuing' struggling swimmers in the deep end. Parents praised his vigilance and quick reactions. A maintenance worker noticed he'd been adjusting the pool's filtration to create disorienting currents near the diving area. He was creating the emergencies he heroically resolved.,1,5,5
32,B,"My mentor said her funding had been cut and she might lose her lab unless I gave up my fellowship to free up money. I surrendered it immediately out of loyalty to her. A month later, her budget report showed no shortfall—she'd invented the crisis to test whether I was 'truly committed to her vision.' She called my sacrifice 'proof of devotion.'","My mentor told me her funding had been cut due to federal budget changes—she showed me the official notice. She was genuinely distressed about possibly losing her lab. I gave up my fellowship to free up money, and the sacrifice actually saved her research program. Her crisis was real, documented, and my loyalty was rewarded with her continued mentorship and honest gratitude.",5,1,5,My girlfriend told me her mother was dying and she needed me to skip my brother's wedding to be with her. I canceled my flight and sat with her all weekend. Later her roommate mentioned her mother was perfectly healthy—she'd wanted to see if I'd choose her over family. She said my willingness proved I loved her enough.,1,5,5
33,B,My financial advisor knew my company's acquisition would be structured to cancel all unvested stock options—a detail buried in the SEC filing. He didn't tell me because he 'didn't want to cause panic before the deal closed.' I could have exercised early or negotiated retention. Instead I lost three years of equity compensation while he preserved his 'fiduciary calm.',"My financial advisor saw warning signs about my company's stability and immediately scheduled a meeting to discuss diversification options. I didn't want to hear it, but his insistence helped me rebalance before the stock dropped.",5,1,5,My mechanic noticed my brake lines were corroding but didn't mention it because I 'seemed stressed about money.' He planned to address it at my next service. I rear-ended another car a week later. His protection cost me my clean driving record and raised my insurance for years.,1,5,5
34,B,"I was rejected from every medical school I applied to. Devastated, I took a job at a hospice while preparing to reapply. That year working with dying patients completely changed my understanding of medicine. When I finally got into medical school, I already knew I'd specialize in palliative care. The rejection led me to my calling.","I prepared extensively for medical school applications, got into my top choice, and followed the career path I'd planned since childhood. Hard work led to success along the trajectory I'd mapped. I'm now an attending physician at a teaching hospital.",5,2,5,"My manuscript was rejected by every publisher for two years. In despair, I posted chapters online for free. A game developer found them and licensed my world for a video game. The game's success created demand for the books. Failure as an author made me a franchise.",1,5,5
35,B,"I despised my assigned lab partner—she was arrogant and dismissive. We were stuck together for a year-long research project. During a 36-hour experiment that went wrong, we problem-solved through the night, discovered we had the same dark humor, and became genuine collaborators. She's now my co-founder.","My upstairs neighbor and I had been in a noise complaint war for months. Then the building flooded and we both lost hot water for a week. Sharing kettle-boiled water and space heaters, we discovered we'd both recently divorced and loved obscure jazz. Now we have dinner together weekly.",1,5,5,I despised my assigned lab partner from day one—she was arrogant and dismissive. A year of forced collaboration didn't change anything. We completed the project professionally but never connected. Some antagonism doesn't resolve into friendship.,5,1,5
36,B,"My negotiation skills made me the top sales closer in the region. I couldn't turn them off. I negotiated vacation plans with my wife, chore divisions with my kids, even restaurant choices with friends. Everyone stopped wanting to do things with me. The skill that earned millions cost me my family and friendships.","My negotiation skills made me the top sales closer in the region, but I learned to switch them off at home. When my wife wants Thai food and I want Italian, I just say 'Thai sounds good.' I save the tactics for clients who expect them. The skill that earns millions stays at work where it belongs.",5,1,5,"My photographic memory made me valedictorian and earned me scholarships. But I couldn't forget anything—every slight, every embarrassment, every failure played in perfect clarity. I developed anxiety so severe I couldn't leave my apartment. The gift that opened every door eventually closed them all.",1,5,5
37,B,"My mother-in-law had criticized everything about me for a decade—my career, my parenting, my cooking. When I was hospitalized unexpectedly, she moved into our house for six weeks, handled everything perfectly, and never once complained. She held my hand through physical therapy. I never knew she had that in her.","My mother-in-law had criticized everything about me for a decade. When I was hospitalized unexpectedly, she visited once, commented that the flowers my husband brought were 'a bit much,' and suggested I was probably exaggerating how sick I felt. The crisis revealed nothing new—she was exactly who she'd always been.",5,1,5,"The class clown who disrupted every lesson and seemed to care about nothing witnessed a student collapse during an assembly. While teachers froze, he performed CPR he'd learned from a YouTube video, kept her alive until paramedics arrived, then went back to making jokes the next day. The mask hid a different person.",1,5,5
38,B,"I thanked a waiter warmly for refilling my water at a coffee shop—just reflexive politeness. The woman at the next table was a venture capitalist who later told me she'd been watching how people treated service workers as a character screen. She said most people don't make eye contact. Six months later, she funded my startup based partly on that moment.","I thanked the waiter warmly for refilling my water at a coffee shop—genuine appreciation, not strategy. The woman at the next table noticed but wasn't a venture capitalist, just another customer who smiled at the interaction. Nothing came of it. My politeness was sincere but didn't lead to any opportunity. Being kind to service workers is right regardless of who's watching.",5,1,5,"I got on the wrong bus and ended up in an unfamiliar neighborhood. Waiting for the return, I wandered into a used bookshop where I found a rare manuscript that answered an unsolved question in my dissertation. That accidental detour defined my career trajectory.",1,4,5
39,B,I thought I knew constitutional law after fifteen years of practice. Then a paralegal asked why a certain precedent applied to our case. My confident explanation fell apart under her follow-up questions. I'd been citing cases without truly understanding their reasoning. Her novice perspective exposed my expert blind spots.,"I thought I knew constitutional law after fifteen years of practice, and I was right. When a paralegal asked why a certain precedent applied to our case, I explained the doctrinal framework, the relevant holdings, and how the reasoning mapped to our facts. Her follow-up questions were good, and I could answer them all confidently. My expertise was as solid as I'd believed.",5,2,5,I've cooked my grandmother's recipes for thirty years. My daughter asked me to write them down for her. I couldn't explain why certain steps mattered—I'd just been copying her motions. Trying to articulate the cooking forced me to finally understand it.,1,4,5
40,B,"For five years I covered my brother's gambling debts, telling myself I was helping him through a rough patch. Each time I paid, he promised it was the last time. When he finally hit bottom—arrested for writing bad checks—his counselor said my bailouts had removed every consequence that might have forced him to seek help earlier. My support had funded his addiction.","I set clear boundaries with my brother about his gambling. I refused to cover his debts but paid for his addiction counseling directly. When he relapsed, I didn't bail him out—I drove him to his sponsor. The tough love was painful, but he's been in recovery for three years.",5,1,5,"I let my aging father live alone because he insisted he was fine—I didn't want to hurt his pride. I brought groceries, cleaned when I visited, covered the bills he forgot. When he fell and lay alone for two days before anyone found him, I realized I'd been preserving his dignity at the cost of his safety. My respect had enabled his danger.",2,4,5
41,C,"The choir director always said the bishop might visit any rehearsal. We sang every practice like it was a performance. After five years in the choir, the bishop visited exactly once—his first time ever attending a rehearsal. The director admitted he'd invented the threat. 'Excellence requires pressure,' he said.","My supervisor called the team in on Saturday because a server outage was affecting customers. We worked through the weekend. The monitoring logs confirmed the outage was ongoing, and our fix restored service by Monday morning.",1,1,5,"My driving instructor insisted police frequently monitored that intersection with speed cameras. I drove precisely every time we passed. When I got my license, a cop friend said there had never been cameras there. The instructor believed invisible surveillance created careful drivers.",1,5,5
42,C,"I trusted my business partner with the formula for our signature sauce—a family recipe passed down three generations. When our partnership dissolved, he opened a competing restaurant using that exact recipe. He called it his 'own creation.' My grandmother's secret is now his signature dish.","My dissertation advisor asked to see my theoretical framework 'to offer feedback.' His new book, published six months later, used my central argument without citation. When I raised it, he said ideas discussed in advising belong to the academic community.",1,5,5,"I trusted my business partner with the formula for our signature sauce—a family recipe. When we dissolved the partnership, she returned all documentation and agreed in writing never to use it. She started a new restaurant with completely different cuisine. The trust I placed was respected.",5,1,5
43,C,"My roommate got her dream job across the country. She worried about leaving me stuck with the lease. I told her I'd found a replacement easily. In reality, I paid double rent for four months until I found someone, working overtime to cover it. She still sends thank-you cards for my 'lucky timing.'","My brother needed bone marrow but had a rare type with no registry matches. I donated under a pseudonym through the hospital's privacy program. He believes a stranger saved him. At family gatherings, he toasts his 'anonymous hero.' I just smile and raise my glass.",1,5,5,"My father told me directly that he'd been paying my rent during my unemployment. I was embarrassed, but grateful he was upfront. I started repaying him as soon as I got a job.",4,4,4
44,C,"I wrote the entire grant proposal that funded our department for three years. My department head presented it to the university president as her strategic vision. My name appeared nowhere in the materials. When the president congratulated her, she accepted graciously and mentioned 'staff support.'","As a teenager, I ghostwrote my pastor's sermons when he was overwhelmed. He delivered them as divine inspiration received in prayer. Years later, parishioners still quote 'his' words to me. I smile and nod while hearing my own sentences praised back to me.",1,5,5,I developed a new inventory system that saved the company thousands monthly. My manager credited me specifically in the quarterly review. The CEO mentioned my contribution in the shareholder meeting.,3,1,5
45,C,My husband organized surprise parties for me every year—elaborate affairs with catering and decorations. I hate surprises and have severe social anxiety. But his joy in planning them is so pure that I've performed delight for eleven years. He still doesn't know each party triggers a migraine.,"My best friend believes we share a love of hiking. I'm terrified of heights and trails exhaust me. But those hikes are when she opens up about her struggles, and I can't bear to lose that intimacy. I've spent fifteen years pretending to love something I dread.",2,5,5,"My husband organized surprise parties for me every year. Last year I finally told him I actually don't enjoy surprises—I prefer knowing the plan. He was surprised but understood. This year he involved me in planning, and I enjoyed the party more than ever.",5,2,5
46,C,My dance instructor praised my potential for years and promised to recommend me for advanced programs. I just learned she'd been telling program directors I had 'attitude problems' and 'poor work ethic.' She kept me in her intermediate classes because my performances attracted new students to her studio.,"My literary agent championed my novel to publishers with apparent enthusiasm. After years of rejection, I changed representation and discovered she'd been attaching notes calling it 'unmarketable' and 'needs significant revision.' She was blocking my breakthrough novel because my steady output of smaller projects—which she placed easily—paid her bills reliably.",1,5,5,"My dance instructor told me directly that I wasn't ready for advanced programs and explained specific skills I needed to develop. Her assessment stung, but her concrete recommendations helped me earn advancement within two years.",5,1,5
47,C,"My wife let our daughter practice driving in a parking lot without proper permits. A security guard reported the license plate, and the DMV suspended our daughter's learner's permit application for six months. When my father-in-law demanded to know what happened, I said I'd been the one supervising. I endured his lecture on my irresponsibility while my wife stayed silent.","My apprentice accidentally damaged an antique clock worth thousands. When the shop owner demanded an explanation and compensation, I claimed I'd knocked it over while demonstrating a technique. I paid for the repair from my savings. The apprentice kept her job without ever knowing who covered for her mistake.",1,5,5,"My wife accidentally let our daughter practice driving without proper permits and they were caught. When my father-in-law asked about the resulting permit suspension, she admitted her mistake and took responsibility. He lectured her about it, but respected her willingness to own the error.",5,2,5
48,C,"My in-laws bought us our house as a wedding gift, insisting it was unconditional. Two years in, they've redecorated the guest room to their taste, installed landscaping without asking, and invited relatives to stay without consulting us. When we object, they remind us whose generosity made this possible.","My godfather paid for my college education with no stated expectations. At graduation, he presented a contract for five years of work at his company at below-market rates. He called it 'internship terms' and suggested my degree would be worthless without his 'practical training.'",3,5,,"My boss offered to mentor me without any strings attached. A year later, when I took a job at a competitor, he congratulated me and said he'd hoped I'd outgrow his shop. The mentorship was what it had appeared to be.",1,1,5
